Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;Pr
5.0;999.92;42.055;570.52;1518.3;11.192
10.0;999.65;41.955;580.0;1306.0;94.471
15.0;999.06;41.888;589.33;1137.6;80.858
20.0;998.16;41.844;598.42;1001.6;70.039
25.0;997.0;41.816;607.15;890.11;61.304
30.0;995.61;41.801;615.46;797.36;54.155
35.0;993.99;41.795;623.28;719.31;48.235
40.0;992.18;41.796;630.58;652.97;4.328
45.0;990.17;41.804;637.34;596.05;39.095
50.0;988.0;41.815;643.55;546.83;35.531
55.0;985.66;41.831;649.22;503.96;32.472
60.0;983.16;41.851;654.35;466.38;29.829
65.0;980.52;41.875;658.96;433.24;27.531
70.0;977.73;41.902;663.09;403.87;25.522
75.0;974.81;41.933;666.76;377.72;23.756
80.0;971.77;41.969;669.99;354.33;22.196
85.0;968.59;42.008;672.81;333.33;20.812
90.0;965.3;42.053;675.25;314.4;1.958
95.0;961.88;42.102;677.34;297.28;18.478
100.0;958.35;42.157;679.09;281.74;1.749
105.0;954.7;42.217;680.54;267.6;16.601
110.0;950.95;42.283;681.69;254.7;15.798
115.0;947.08;42.356;682.57;242.89;15.072
120.0;943.11;42.435;683.19;232.05;14.414
125.0;939.02;42.521;683.56;222.08;13.815
130.0;934.83;42.615;683.7;212.9;1.327
135.0;930.54;42.716;683.61;204.4;12.773
140.0;926.13;42.826;683.3;196.54;12.318
145.0;921.62;42.944;682.78;189.25;11.903
150.0;917.01;43.071;682.04;182.46;11.522
155.0;912.28;43.207;681.1;176.14;11.174
160.0;907.45;43.354;679.96;170.24;10.854
165.0;902.51;4.351;678.61;164.72;10.561
170.0;897.45;43.678;677.05;159.55;10.293
175.0;892.28;43.858;675.29;154.7;10.047
180.0;887.0;4.405;673.32;150.14;0.98221
185.0;881.6;44.255;671.14;145.84;0.96164
190.0;876.08;44.474;668.75;141.78;0.94289
195.0;870.43;44.708;666.14;137.95;0.92584
200.0;864.66;44.958;663.31;134.32;0.91038
