Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Pr
-30.0;677.83;44.645;654.63;244.07;16.646
-25.0;671.53;44.892;638.19;228.45;1.607
-20.0;665.14;45.138;621.96;214.41;1.556
-15.0;658.65;45.385;605.94;201.73;15.109
-10.0;652.06;45.636;590.14;190.22;1.471
-5.0;645.37;45.895;574.56;179.72;14.356
0.0;638.57;46.165;559.2;170.09;14.042
5.0;631.66;46.451;544.06;161.23;13.766
10.0;624.64;46.757;529.12;153.03;13.523
15.0;617.49;47.088;514.39;145.42;13.312
20.0;610.2;47.448;499.86;138.32;1.313
25.0;602.76;47.844;485.51;131.68;12.977
30.0;595.17;48.282;471.35;125.45;1.285
35.0;587.4;48.771;457.37;119.58;12.752
40.0;579.44;49.318;443.54;114.04;1.268
45.0;571.27;49.935;429.86;108.78;12.637
50.0;562.86;50.635;416.32;103.79;12.624
55.0;554.2;51.434;402.9;99.031;12.642
60.0;545.24;52.351;389.59;94.483;12.696
65.0;535.96;53.411;376.38;90.124;12.789
70.0;526.31;54.648;363.24;85.933;12.928
75.0;516.23;56.103;350.15;81.891;13.121
80.0;505.67;57.837;337.11;77.979;13.379
85.0;494.54;5.993;324.07;74.178;13.718
90.0;482.75;62.501;311.02;70.468;14.161
95.0;470.17;65.731;297.93;66.828;14.744
100.0;456.63;69.912;284.77;63.231;15.523
105.0;441.9;75.551;271.51;59.646;16.597
110.0;425.61;83.621;258.13;56.028;18.151
115.0;407.18;96.278;244.64;52.305;20.584
120.0;385.49;11.94;231.24;48.34;24.961
