Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Prandtl
0.0;884.5;16.254;137.92;1348.0;15.886
5.0;879.96;16.397;136.25;1216.7;14.643
10.0;875.4;16.544;134.6;1106.1;13.595
15.0;870.84;16.695;132.99;1011.6;12.699
20.0;866.26;16.848;131.4;929.97;11.924
25.0;861.68;17.005;129.83;858.82;11.248
30.0;857.08;17.164;128.3;796.29;10.653
35.0;852.47;17.326;126.79;740.95;10.126
40.0;847.84;17.491;125.3;691.65;9.655
45.0;843.2;17.658;123.84;647.48;92.326
50.0;838.53;17.827;122.4;607.72;8.851
55.0;833.84;17.999;121.0;571.76;85.048
60.0;829.13;18.172;119.61;539.08;81.899
65.0;824.4;18.347;118.25;509.29;7.902
70.0;819.63;18.525;116.91;482.01;76.379
75.0;814.84;18.704;115.58;456.96;73.946
80.0;810.02;18.885;114.28;433.88;71.699
85.0;805.16;19.068;113.0;412.56;69.615
90.0;800.27;19.252;111.74;392.79;67.677
95.0;795.34;19.438;110.49;374.43;6.587
100.0;790.37;19.626;109.27;357.32;6.418
105.0;785.36;19.815;108.06;341.34;62.595
110.0;780.3;20.006;106.87;326.39;61.104
115.0;775.19;20.199;105.69;312.37;59.699
120.0;770.04;20.394;104.53;299.19;58.371
125.0;764.83;2.059;103.39;286.78;57.113
130.0;759.56;20.789;102.26;275.06;55.919
135.0;754.23;20.989;101.15;263.99;54.782
140.0;748.84;21.192;100.05;253.5;53.698
145.0;743.38;21.397;98.959;243.55;52.661
150.0;737.85;21.605;97.886;234.1;51.669
155.0;732.24;21.815;96.824;225.1;50.716
160.0;726.55;22.028;95.775;216.52;4.98
165.0;720.77;22.245;94.737;208.33;48.918
170.0;714.9;22.465;93.709;200.5;48.067
175.0;708.94;2.269;92.692;193.0;47.243
180.0;702.86;22.918;91.685;185.81;46.446
185.0;696.68;23.152;90.687;178.9;45.673
190.0;690.37;23.392;89.697;172.26;44.923
195.0;683.93;23.638;88.716;165.86;44.193
200.0;677.35;23.891;87.742;159.69;43.482
205.0;670.62;24.153;86.776;153.73;42.789
210.0;663.73;24.424;85.816;147.97;42.113
215.0;656.66;24.706;84.862;142.39;41.453
220.0;649.4;25.001;83.915;136.97;40.808
225.0;641.93;2.531;82.972;131.71;40.178
230.0;634.23;25.637;82.035;126.6;39.563
235.0;626.28;25.984;81.102;121.61;38.961
240.0;618.05;26.354;80.174;116.74;38.374
245.0;609.51;26.753;79.251;111.98;37.802
250.0;600.62;27.187;78.334;107.32;37.246
255.0;591.36;27.663;77.421;102.73;36.708
260.0;581.66;28.192;76.516;98.224;3.619
265.0;571.47;28.787;75.62;93.771;35.696
270.0;560.71;29.467;74.737;89.361;35.232
275.0;549.3;30.259;73.872;84.977;34.808
280.0;537.12;31.205;73.034;80.599;34.437
